Sample	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_duplication	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_rate	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_bases	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-filtering_result_passed_filter_reads	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_gc_content	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_surviving	GATK4 MarkDuplicates: Mark Duplicates_mqc-generalstats-gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-error_rate	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-non_primary_alignments	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_properly_paired_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_MQ0_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-raw_total_sequences	Mosdepth_mqc-generalstats-mosdepth-1_x_pc	Mosdepth_mqc-generalstats-mosdepth-5_x_pc	Mosdepth_mqc-generalstats-mosdepth-10_x_pc	Mosdepth_mqc-generalstats-mosdepth-30_x_pc	Mosdepth_mqc-generalstats-mosdepth-50_x_pc	Mosdepth_mqc-generalstats-mosdepth-median_coverage	Mosdepth_mqc-generalstats-mosdepth-mean_coverage	Mosdepth_mqc-generalstats-mosdepth-min_coverage	Mosdepth_mqc-generalstats-mosdepth-max_coverage	Mosdepth_mqc-generalstats-mosdepth-coverage_bases	Mosdepth_mqc-generalstats-mosdepth-length	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_records	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_indels	Bcftools: Stats_mqc-generalstats-bcftools_stats-tstv	Bcftools: Stats_mqc-generalstats-bcftools_stats-number_of_MNPs
aviti_ngi | KMS12BM-B2403418436_KMS-812-5mil-DE090-2A1A-3.KMS12BM-B2403418436_KMS-812-5mil-DE090-2A1A-3_1							0.033803																							
aviti_ngi | KMS12BM.deepvariant																										5472867	4503819	972799	1.55	0
aviti_ngi | KMS12BM.md								0.003838115	0.0	379740009.0	99.85641833858583	98.59367750111673	3.9192097064412277	380286030.0	94.0	93.0	83.0	7.000000000000001	1.0	17	17.7	0.0	138371.0	54880465601	3100554802					
aviti_ngi | MM1S-B2403418437_MM1-S-5mil-DE090-3A1A-1	0.84504	0.969665	17770908487.0	122179024.0	0.4114	100.0																								
aviti_ngi | MM1S-B2403418437_MM1-S-5mil-DE090-3A1A-1.MM1S-B2403418437_MM1-S-5mil-DE090-3A1A-1_1							0.037226																							
aviti_ngi | MM1S-B2403418438_MM1-S-5mil-DE090-3A1A-2	0.8516100000000001	0.972521	18224372394.0	124928786.0	0.411254	100.0																								
aviti_ngi | MM1S-B2403418439_MM1-S-5mil-DE090-3A1A-3	0.886982	0.970095	19685405915.0	135281596.0	0.411275	100.0																								
aviti_ngi | MM1S.deepvariant																										6699677	5519015	1187308	1.62	0
aviti_ngi | MM1S.md								0.004228812	0.0	381848224.0	99.85847358961612	98.46087681623689	4.256507043503188	382389406.0	94.0	93.0	87.0	4.0	0	18	17.73	0.0	141038.0	54978028119	3100554802					
aviti_ngi | OPM2-B2403418431_5mil-OPM2-DE090-1A1A-1	1.00811	0.970755	20911214525.0	143607860.0	0.411692	100.0																								
aviti_ngi | OPM2-B2403418431_5mil-OPM2-DE090-1A1A-1.OPM2-B2403418431_5mil-OPM2-DE090-1A1A-1_1							0.036495																							
aviti_ngi | OPM2-B2403418432_5mil-OPM2-DE090-1A1A-2	0.9473469999999999	0.9755	21462762656.0	146678734.0	0.411854	100.0																								
aviti_ngi | OPM2-B2403418433_5mil-OPM2-DE090-1A1A-3	0.969054	0.971586	20540266719.0	140939722.0	0.411825	100.0																								
aviti_ngi | OPM2.deepvariant																										5741130	4712295	1033437	1.55	0
aviti_ngi | OPM2.md								0.003749253	0.0	430688901.0	99.8753751846629	98.67639200386834	4.143589418601253	431226316.0	94.0	93.0	90.0	9.0	1.0	20	20.02	0.0	111125.0	62073917608	3100554802					
aviti_ngi | REH-B2403418440_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1	0.700614	0.969446	15099407665.0	103835262.0	0.413215	100.0																								
aviti_ngi | REH-B2403418440_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1.REH-B2403418440_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_1							0.031682																							
aviti_ngi | REH-B2403418441_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2	0.76193	0.970753	16816860070.0	115490192.0	0.411676	100.0																								
aviti_ngi | REH-B2403418442_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3	0.671517	0.969568	15573966282.0	107085274.0	0.412822	100.0																								
aviti_ngi | REH.deepvariant																										6541810	5068647	1481122	1.63	0
aviti_ngi | REH.md								0.004252802	0.0	325877771.0	99.83672197195675	98.33111735224584	4.063643398387322	326410728.0	94.0	93.0	86.0	1.0	0	15	15.22	0.0	141898.0	47194592292	3100554802					
xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A	18.7483	0.949164	37067456647.0	260351614.0	0.410452	100.0																								
xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1	18.9513	0.945898	34622823725.0	244020922.0	0.41122	100.0																								
xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2	18.5134	0.947599	28897286921.0	203301856.0	0.41141	100.0																								
xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A	7.051019999999999	0.938275	35159338966.0	249815354.0	0.408857	100.0																								
xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1	7.158829999999999	0.935506	32940675307.0	234744080.0	0.408788	100.0																								
xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2	6.83035	0.936955	27627668284.0	196577716.0	0.408953	100.0																								
xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2.KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2_1							0.21291																							
xplus_sns | KMS12BM.deepvariant																										7153111	6014299	1142866	1.44	0
