FFQ	43	2	1	21	225	300	277	251	249	277	281	290	331	336	376	411	444	538	500	629	676	699	783	923	1097	992	1242	1373	1479	1704	1953	2118	2201	2833	2922	3631	3693	4133	5272	6527	7423	8100	11923	17730	27988	92304	393282	0
FFQ	44	0	1	28	225	329	264	275	249	284	278	309	298	323	386	368	458	539	533	622	701	645	845	920	1103	1050	1241	1342	1479	1788	1924	2122	2243	2676	2894	3578	3561	4048	5287	6352	7539	8387	11987	17599	27764	92983	392913	0
FFQ	45	8	1	29	220	339	297	268	265	291	298	309	329	352	420	406	458	556	516	661	701	698	817	929	1140	1040	1268	1360	1508	1754	1866	2115	2305	2715	2955	3611	3746	4208	5165	6594	7648	8325	11769	17635	27939	93848	391058	0
FFQ	46	0	1	16	214	311	286	290	273	298	251	296	326	312	393	365	450	486	491	628	660	687	771	917	1096	1022	1245	1328	1601	1778	1846	2087	2276	2635	2909	3752	3535	4019	5069	6383	7430	8327	11754	17482	28234	92084	394126	0
FFQ	47	0	0	14	237	342	291	265	278	296	310	326	328	334	399	375	445	505	571	612	704	764	824	946	1130	1051	1322	1316	1598	1680	1951	2259	2416	2616	3045	3638	3637	4149	5176	6413	7548	8268	11794	17487	28088	93419	391573	0
FFQ	48	1	0	18	236	324	292	278	262	305	297	331	335	350	443	416	462	535	558	634	724	718	816	940	1096	1073	1305	1378	1579	1772	1929	2205	2323	2702	3069	3868	3523	4172	5086	6423	7633	8298	11609	17512	28545	92495	391870	0
FFQ	49	0	0	17	213	330	236	278	252	254	279	335	339	332	408	377	443	511	538	627	677	740	838	890	1104	1023	1245	1337	1627	1711	1816	2209	2361	2611	2996	3744	3562	4268	4971	6328	7755	8018	11739	17260	28167	91725	394249	0
FFQ	50	4	0	25	258	325	295	267	248	264	312	310	342	386	395	405	467	528	565	612	698	762	768	861	1065	1033	1303	1344	1567	1812	1863	2181	2377	2570	3018	3795	3502	4302	4927	6270	7582	8258	11603	17118	28347	92723	393083	0
FFQ	51	2	0	28	219	354	308	277	283	316	304	314	334	362	432	392	470	520	571	706	698	777	780	868	1153	1118	1318	1350	1597	1730	1866	2184	2368	2616	3068	3896	3548	4320	4919	6466	7782	8115	11690	17596	28646	93363	390716	0
FFQ	52	4	0	19	206	356	279	290	242	274	313	318	321	321	414	375	460	485	530	614	671	737	780	842	1119	1061	1261	1309	1574	1717	1752	2275	2385	2507	3019	3939	3510	4238	4795	6326	7689	8424	11222	17108	28118	92608	393933	0
FFQ	53	0	0	14	201	320	295	282	276	289	312	290	353	334	424	400	506	549	529	662	693	782	760	863	1115	1057	1293	1406	1672	1719	1872	2178	2519	2576	2965	3893	3467	4342	4867	6282	7943	8351	11471	17301	28952	92430	391935	0
